Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
16/03/2026 11:12,3-1237,Sale,,10010,Sausage bap,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 10:47,3-1236,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 10:47,3-1236,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 09:18,3-1235,Sale,,10010,Sausage bap,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 16:46,3-1234,Sale,,10001,Cappuccino,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 16:46,3-1234,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 16:46,3-1234,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 16:46,3-1234,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 15:51,3-1233,Sale,Gifts,10123,Cards ewl,,,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 15:50,3-1232,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 15:50,3-1231,Sale,,10083,Latte,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 15:49,3-1230,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
14/03/2026 15:45,3-1229,Sale,,10035,Sandwich,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
