Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Penkey Coffee and Gifts],Price [Penkey Coffee and Gifts],In stock [Penkey Coffee and Gifts],Low stock [Penkey Coffee and Gifts],"Modifier - ""Add ons""","Modifier - ""Syrups""","Modifier - ""Extra shots""","Modifier - ""Breakfast add ons""","Modifier - ""Add milk""","Modifier - ""Sandwich upsells""","Modifier - ""Toastie upsells""","Modifier - ""Salad add-ons""","Modifier - ""Sweet add ons""","Modifier - ""Meals add-on""","Modifier - ""Hot baps add-on's"""
lemon-crumble-slice-2,10237,Lemon crumble slice,Bakes and Sweets,,N,,,,,,,1.22,,,,N,Y,3.80,,,N,N,N,N,N,N,N,N,Y,N,N
lilliput-capers,10125,Lilliput capers,Retail food,,N,,,,,,,1.49,,,,N,Y,4.95,,,N,N,N,N,N,N,N,N,N,N,N
liz-gifts,10057,Liz gifts,Gifts,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
local-chutney,10032,Local Chutney,Retail food,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
local-honey,10033,Local Honey,Retail food,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
local-jam,10034,Local jam,Retail food,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
lunch-special,10210,Lunch Special,Penkey Meals,<p>See board for today&#39;s offering. Add any drink for &pound;2 (excluding milkshakes).</p>,N,,,,,,,3.59,,,,N,Y,11.95,,,N,N,N,N,N,N,N,N,N,N,N
machhiato-double-espresso-with-a-dab-of-foam,10241,Machhiato ( Double espresso with a dab of foam),Hot Drinks - Coffee,,N,,,,,,,0.42,,,,N,Y,2.80,,,N,N,N,N,Y,N,N,N,N,N,N
make-it-a-full-plate,10289,Make it a full plate,Add-ons,,N,,,,,,,0.90,,,,N,Y,3.00,,,N,N,N,N,N,N,N,N,N,N,N
mini-chocolate-brownie,10286,Mini Chocolate Brownie,Add-ons,,N,,,,,,,0.84,,,,N,Y,2.80,,,N,N,N,N,N,N,N,N,N,N,N
mini-soup,10294,Mini Soup,Add-ons,,N,,,,,,,0.60,,,,N,Y,2.00,,,N,N,N,N,N,N,N,N,N,N,N
minty-one-tea-1-person,10258,Minty One Tea - 1 person,Hot Drinks - Tea,,N,,,,,,,0.45,,,,N,Y,3.00,,,N,N,N,N,Y,N,N,N,N,N,N
minty-one-tea-2-people,10259,Minty One Tea - 2 people,Hot Drinks - Tea,,N,,,,,,,0.75,,,,N,Y,5.00,,,N,N,N,N,Y,N,N,N,N,N,N
misc,10015,Misc,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
mocha-2,10249,Mocha,Hot Drinks - Coffee,,N,,,,,,,0.80,,,,N,Y,4.00,,,N,Y,Y,N,Y,N,N,N,N,N,N
mocha-brownie-choca-brownie-crumbs-chocolate-sauce,10282,Mocha Brownie Choca - brownie crumbs chocolate sauce,Penkey Affogatos,,N,,,,,,,1.74,,,,N,Y,5.80,,,N,N,N,N,N,N,N,N,N,N,N
nick,10136,Nick,Gifts,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
oak-milk,10284,Oak Milk,Add-ons,,N,,,,,,,0.15,,,,N,Y,0.50,,,N,N,N,N,N,N,N,N,N,N,N
penkey-hogs-loaf-with-egg,10221,Penkey Hogs loaf with Egg,Hot Baps,,N,,,,,,,1.88,,,,N,Y,7.50,,,N,N,N,Y,N,N,N,N,N,N,Y
penkey-ploughmans-ham-cheese-and-sway-chutney,10214,"Penkey Ploughman’s - Ham, Cheese and sway chutney",Sandwiches,,N,,,,,,,1.50,,,,N,Y,6.00,,,N,N,N,N,N,Y,N,N,N,N,N
pepsi-max,10022,Pepsi max,Drinks fridge,,N,,,,,,,0.45,,,,N,Y,1.50,,,N,N,N,N,N,N,N,N,N,N,N
pickled-pineapple,10119,Pickled pineapple,Retail food,,N,,,,,,,1.79,,,,N,Y,5.95,,,N,N,N,N,N,N,N,N,N,N,N
pigs-in-blankets-nuts,10115,Pigs in Blankets Nuts,Retail food,,N,,,,,,,1.79,,,,N,Y,5.95,,,N,N,N,N,N,N,N,N,N,N,N
pulled-pork-hogs-loaf-apple-sauce-sage-crumble,10219,"Pulled Pork, Hogs Loaf, Apple Sauce, Sage crumble",Hot Baps,,N,,,,,,,2.00,,,,N,Y,9.00,,,N,N,N,Y,N,N,N,N,N,N,Y
quiche,10187,Quiche,,,N,,,,,,,2.10,,,,N,Y,7.00,,,N,N,N,N,N,N,N,N,N,N,N
retail-tea-☕,10199,Retail tea ☕,Retail food,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
rio,10009,Rio,Drinks fridge,,N,,,,,,,0.45,,,,N,Y,1.50,,,N,N,N,N,N,N,N,N,N,N,N
root-beer,10005,Root beer,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N
